period_begin,period_end,period_duration,state,state_code,search_word
2022-08-28,2022-09-03,7,Alaska,AK,Eli
2022-09-04,2022-09-10,7,Alaska,AK,Eli
2022-09-11,2022-09-17,7,Alaska,AK,Jackson
2022-09-18,2022-09-24,7,Alaska,AK,Jackson
2022-09-25,2022-10-01,7,Alaska,AK,Hudson
2022-10-02,2022-10-08,7,Alaska,AK,Christian
2022-10-09,2022-10-15,7,Alaska,AK,Andrew
2022-10-16,2022-10-22,7,Alaska,AK,Nicholas
2022-10-23,2022-10-29,7,Alaska,AK,Hudson
2022-10-30,2022-11-05,7,Alaska,AK,Jackson
2022-11-06,2022-11-12,7,Alaska,AK,Andrew
2022-11-13,2022-11-19,7,Alaska,AK,Jayden
2022-11-20,2022-11-26,7,Alaska,AK,William
2022-11-27,2022-12-03,7,Alaska,AK,William
2022-01-02,2022-01-08,7,Arizona,AZ,Eli
2022-01-09,2022-01-15,7,Arizona,AZ,Jackson
2022-01-16,2022-01-22,7,Arizona,AZ,Miles
2022-01-23,2022-01-29,7,Arizona,AZ,Derrick
2022-01-30,2022-02-05,7,Arizona,AZ,William
2022-02-06,2022-02-12,7,Arizona,AZ,Nolan
2022-02-13,2022-02-19,7,Arizona,AZ,Hudson
2022-02-20,2022-02-26,7,Arizona,AZ,Miles
2022-02-27,2022-03-05,7,Arizona,AZ,Eli
2022-03-06,2022-03-12,7,Arizona,AZ,Jayden
2022-03-13,2022-03-19,7,Arizona,AZ,Nolan
2022-03-20,2022-03-26,7,Arizona,AZ,Jackson
2022-03-27,2022-04-02,7,Arizona,AZ,Jackson
2022-04-03,2022-04-09,7,Arizona,AZ,Nicholas
2022-04-10,2022-04-16,7,Arizona,AZ,Julian
2022-04-17,2022-04-23,7,Arizona,AZ,Jackson
2022-04-24,2022-04-30,7,Arizona,AZ,Andrew
2022-05-01,2022-05-07,7,Arizona,AZ,Eli
2022-05-08,2022-05-14,7,Arizona,AZ,Nicholas
2022-05-15,2022-05-21,7,Arizona,AZ,Julian
2022-05-22,2022-05-28,7,Arizona,AZ,Adam
2022-05-29,2022-06-04,7,Arizona,AZ,Jackson
2022-06-05,2022-06-11,7,Arizona,AZ,Andrew
2022-06-12,2022-06-18,7,Arizona,AZ,Ryan
2022-06-19,2022-06-25,7,Arizona,AZ,Jackson
2022-06-26,2022-07-02,7,Arizona,AZ,Eli
2022-07-03,2022-07-09,7,Arizona,AZ,Hudson
2022-07-10,2022-07-16,7,Arizona,AZ,Nolan
2022-07-17,2022-07-23,7,Arizona,AZ,Isaiah
2022-07-24,2022-07-30,7,Arizona,AZ,Andrew
2022-07-31,2022-08-06,7,Arizona,AZ,Eli
2022-08-07,2022-08-13,7,Arizona,AZ,Theodore
2022-08-14,2022-08-20,7,Arizona,AZ,Derrick
2022-08-21,2022-08-27,7,Arizona,AZ,Jayden
2022-08-28,2022-09-03,7,Arizona,AZ,Eli
2022-09-04,2022-09-10,7,Arizona,AZ,Eli
2022-09-11,2022-09-17,7,Arizona,AZ,Jackson
2022-09-18,2022-09-24,7,Arizona,AZ,Jackson
2022-09-25,2022-10-01,7,Arizona,AZ,Hudson
2022-10-02,2022-10-08,7,Arizona,AZ,Christian
2022-10-09,2022-10-15,7,Arizona,AZ,Andrew
2022-10-16,2022-10-22,7,Arizona,AZ,Nicholas
2022-10-23,2022-10-29,7,Arizona,AZ,Hudson
2022-10-30,2022-11-05,7,Arizona,AZ,Jackson
2022-11-06,2022-11-12,7,Arizona,AZ,Andrew
2022-11-13,2022-11-19,7,Arizona,AZ,Jayden
2022-11-20,2022-11-26,7,Arizona,AZ,William
2022-11-27,2022-12-03,7,Arizona,AZ,William
2022-01-02,2022-01-08,7,Arkansas,AR,Eli
2022-01-09,2022-01-15,7,Arkansas,AR,Jackson
2022-01-16,2022-01-22,7,Arkansas,AR,Miles
2022-01-23,2022-01-29,7,Arkansas,AR,Derrick
2022-01-30,2022-02-05,7,Arkansas,AR,William
2022-02-06,2022-02-12,7,Arkansas,AR,Nolan
2022-02-13,2022-02-19,7,Arkansas,AR,Hudson
2022-02-20,2022-02-26,7,Arkansas,AR,Miles
2022-02-27,2022-03-05,7,Arkansas,AR,Eli
2022-03-06,2022-03-12,7,Arkansas,AR,Jayden
2022-03-13,2022-03-19,7,Arkansas,AR,Nolan
2022-03-20,2022-03-26,7,Arkansas,AR,Jackson
2022-03-27,2022-04-02,7,Arkansas,AR,Jackson
2022-04-03,2022-04-09,7,Arkansas,AR,Nicholas
2022-04-10,2022-04-16,7,Arkansas,AR,Julian
2022-04-17,2022-04-23,7,Arkansas,AR,Jackson
2022-04-24,2022-04-30,7,Arkansas,AR,Andrew
2022-05-01,2022-05-07,7,Arkansas,AR,Eli
2022-05-08,2022-05-14,7,Arkansas,AR,Nicholas
2022-05-15,2022-05-21,7,Arkansas,AR,Julian
2022-05-22,2022-05-28,7,Arkansas,AR,Adam
2022-05-29,2022-06-04,7,Arkansas,AR,Jackson
2022-06-05,2022-06-11,7,Arkansas,AR,Andrew
2022-06-12,2022-06-18,7,Arkansas,AR,Ryan
2022-06-19,2022-06-25,7,Arkansas,AR,Jackson
2022-06-26,2022-07-02,7,Arkansas,AR,Eli
2022-07-03,2022-07-09,7,Arkansas,AR,Hudson
2022-07-10,2022-07-16,7,Arkansas,AR,Nolan
2022-07-17,2022-07-23,7,Arkansas,AR,Isaiah
2022-07-24,2022-07-30,7,Arkansas,AR,Andrew
2022-07-31,2022-08-06,7,Arkansas,AR,Eli
2022-08-07,2022-08-13,7,Arkansas,AR,Theodore
2022-08-14,2022-08-20,7,Arkansas,AR,Derrick
2022-08-21,2022-08-27,7,Arkansas,AR,Jayden
2022-08-28,2022-09-03,7,Arkansas,AR,Eli
2022-09-04,2022-09-10,7,Arkansas,AR,Eli
2022-09-11,2022-09-17,7,Arkansas,AR,Jackson
2022-09-18,2022-09-24,7,Arkansas,AR,Jackson
2022-09-25,2022-10-01,7,Arkansas,AR,Hudson
2022-10-02,2022-10-08,7,Arkansas,AR,Christian
2022-10-09,2022-10-15,7,Arkansas,AR,Andrew
2022-10-16,2022-10-22,7,Arkansas,AR,Nicholas
2022-10-23,2022-10-29,7,Arkansas,AR,Hudson
2022-10-30,2022-11-05,7,Arkansas,AR,Jackson
2022-11-06,2022-11-12,7,Arkansas,AR,Andrew
2022-11-13,2022-11-19,7,Arkansas,AR,Jayden
2022-11-20,2022-11-26,7,Arkansas,AR,William
2022-11-27,2022-12-03,7,Arkansas,AR,William
2022-01-02,2022-01-08,7,California,CA,Eli
2022-01-09,2022-01-15,7,California,CA,Jackson
2022-01-16,2022-01-22,7,California,CA,Miles
2022-01-23,2022-01-29,7,California,CA,Derrick
2022-01-30,2022-02-05,7,California,CA,William
2022-02-06,2022-02-12,7,California,CA,Nolan
2022-02-13,2022-02-19,7,California,CA,Hudson
2022-02-20,2022-02-26,7,California,CA,Miles
2022-02-27,2022-03-05,7,California,CA,Eli
2022-03-06,2022-03-12,7,California,CA,Jayden
2022-03-13,2022-03-19,7,California,CA,Nolan
2022-03-20,2022-03-26,7,California,CA,Jackson
2022-03-27,2022-04-02,7,California,CA,Jackson
2022-04-03,2022-04-09,7,California,CA,Nicholas
2022-04-10,2022-04-16,7,California,CA,Julian
2022-04-17,2022-04-23,7,California,CA,Jackson
2022-04-24,2022-04-30,7,California,CA,Andrew
2022-05-01,2022-05-07,7,California,CA,Eli
2022-05-08,2022-05-14,7,California,CA,Nicholas
2022-05-15,2022-05-21,7,California,CA,Julian
2022-05-22,2022-05-28,7,California,CA,Adam
2022-05-29,2022-06-04,7,California,CA,Jackson
2022-06-05,2022-06-11,7,California,CA,Andrew
2022-06-12,2022-06-18,7,California,CA,Ryan
2022-06-19,2022-06-25,7,California,CA,Jackson
2022-06-26,2022-07-02,7,California,CA,Eli
2022-07-03,2022-07-09,7,California,CA,Hudson
2022-07-10,2022-07-16,7,California,CA,Nolan
2022-07-17,2022-07-23,7,California,CA,Isaiah
2022-07-24,2022-07-30,7,California,CA,Andrew
2022-07-31,2022-08-06,7,California,CA,Eli
2022-08-07,2022-08-13,7,California,CA,Theodore
2022-08-14,2022-08-20,7,California,CA,Derrick
2022-08-21,2022-08-27,7,California,CA,Jayden
2022-08-28,2022-09-03,7,California,CA,Eli
2022-09-04,2022-09-10,7,California,CA,Eli
2022-09-11,2022-09-17,7,California,CA,Jackson
2022-09-18,2022-09-24,7,California,CA,Jackson
2022-09-25,2022-10-01,7,California,CA,Hudson
2022-10-02,2022-10-08,7,California,CA,Christian
2022-10-09,2022-10-15,7,California,CA,Andrew
2022-10-16,2022-10-22,7,California,CA,Nicholas
2022-10-23,2022-10-29,7,California,CA,Hudson
2022-10-30,2022-11-05,7,California,CA,Jackson
2022-11-06,2022-11-12,7,California,CA,Andrew
2022-11-13,2022-11-19,7,California,CA,Jayden
2022-11-20,2022-11-26,7,California,CA,William
2022-11-27,2022-12-03,7,California,CA,William
2022-01-02,2022-01-08,7,Colorado,CO,Eli
2022-01-09,2022-01-15,7,Colorado,CO,Jackson
2022-01-16,2022-01-22,7,Colorado,CO,Miles
2022-01-23,2022-01-29,7,Colorado,CO,Derrick
2022-01-30,2022-02-05,7,Colorado,CO,William
2022-02-06,2022-02-12,7,Colorado,CO,Nolan
2022-02-13,2022-02-19,7,Colorado,CO,Hudson
2022-02-20,2022-02-26,7,Colorado,CO,Miles
2022-02-27,2022-03-05,7,Colorado,CO,Eli
2022-03-06,2022-03-12,7,Colorado,CO,Jayden
2022-03-13,2022-03-19,7,Colorado,CO,Nolan
2022-03-20,2022-03-26,7,Colorado,CO,Jackson
2022-03-27,2022-04-02,7,Colorado,CO,Jackson
2022-04-03,2022-04-09,7,Colorado,CO,Nicholas
2022-04-10,2022-04-16,7,Colorado,CO,Julian
2022-04-17,2022-04-23,7,Colorado,CO,Jackson
2022-04-24,2022-04-30,7,Colorado,CO,Andrew
2022-05-01,2022-05-07,7,Colorado,CO,Eli
2022-05-08,2022-05-14,7,Colorado,CO,Nicholas
2022-05-15,2022-05-21,7,Colorado,CO,Julian
2022-05-22,2022-05-28,7,Colorado,CO,Adam
2022-05-29,2022-06-04,7,Colorado,CO,Jackson
2022-06-05,2022-06-11,7,Colorado,CO,Andrew
2022-06-12,2022-06-18,7,Colorado,CO,Ryan
2022-06-19,2022-06-25,7,Colorado,CO,Jackson
2022-06-26,2022-07-02,7,Colorado,CO,Eli
2022-07-03,2022-07-09,7,Colorado,CO,Hudson
2022-07-10,2022-07-16,7,Colorado,CO,Nolan
2022-07-17,2022-07-23,7,Colorado,CO,Isaiah
2022-07-24,2022-07-30,7,Colorado,CO,Andrew
2022-07-31,2022-08-06,7,Colorado,CO,Eli
2022-08-07,2022-08-13,7,Colorado,CO,Theodore
2022-08-14,2022-08-20,7,Colorado,CO,Derrick
2022-08-21,2022-08-27,7,Colorado,CO,Jayden
2022-08-28,2022-09-03,7,Colorado,CO,Eli
2022-09-04,2022-09-10,7,Colorado,CO,Eli
2022-09-11,2022-09-17,7,Colorado,CO,Jackson
2022-09-18,2022-09-24,7,Colorado,CO,Jackson
2022-09-25,2022-10-01,7,Colorado,CO,Hudson
2022-10-02,2022-10-08,7,Colorado,CO,Christian
2022-10-09,2022-10-15,7,Colorado,CO,Andrew
2022-10-16,2022-10-22,7,Colorado,CO,Nicholas
2022-10-23,2022-10-29,7,Colorado,CO,Hudson
2022-10-30,2022-11-05,7,Colorado,CO,Jackson
2022-11-06,2022-11-12,7,Colorado,CO,Andrew
2022-11-13,2022-11-19,7,Colorado,CO,Jayden
2022-11-20,2022-11-26,7,Colorado,CO,William
2022-11-27,2022-12-03,7,Colorado,CO,William
2022-01-02,2022-01-08,7,Connecticut,CT,Eli
2022-01-09,2022-01-15,7,Connecticut,CT,Jackson
2022-01-16,2022-01-22,7,Connecticut,CT,Miles
2022-01-23,2022-01-29,7,Connecticut,CT,Derrick
2022-01-30,2022-02-05,7,Connecticut,CT,William
2022-02-06,2022-02-12,7,Connecticut,CT,Nolan
2022-02-13,2022-02-19,7,Connecticut,CT,Hudson
2022-02-20,2022-02-26,7,Connecticut,CT,Miles
2022-02-27,2022-03-05,7,Connecticut,CT,Eli
2022-03-06,2022-03-12,7,Connecticut,CT,Jayden
2022-03-13,2022-03-19,7,Connecticut,CT,Nolan
2022-03-20,2022-03-26,7,Connecticut,CT,Jackson
2022-03-27,2022-04-02,7,Connecticut,CT,Jackson
2022-04-03,2022-04-09,7,Connecticut,CT,Nicholas
2022-04-10,2022-04-16,7,Connecticut,CT,Julian
2022-04-17,2022-04-23,7,Connecticut,CT,Jackson
2022-04-24,2022-04-30,7,Connecticut,CT,Andrew
2022-05-01,2022-05-07,7,Connecticut,CT,Eli
2022-05-08,2022-05-14,7,Connecticut,CT,Nicholas
2022-05-15,2022-05-21,7,Connecticut,CT,Julian
2022-05-22,2022-05-28,7,Connecticut,CT,Adam
2022-05-29,2022-06-04,7,Connecticut,CT,Jackson
2022-06-05,2022-06-11,7,Connecticut,CT,Andrew
2022-06-12,2022-06-18,7,Connecticut,CT,Ryan
2022-06-19,2022-06-25,7,Connecticut,CT,Jackson
2022-06-26,2022-07-02,7,Connecticut,CT,Eli
2022-07-03,2022-07-09,7,Connecticut,CT,Hudson
2022-07-10,2022-07-16,7,Connecticut,CT,Nolan
2022-07-17,2022-07-23,7,Connecticut,CT,Isaiah
2022-07-24,2022-07-30,7,Connecticut,CT,Andrew
2022-07-31,2022-08-06,7,Connecticut,CT,Eli
2022-08-07,2022-08-13,7,Connecticut,CT,Theodore
2022-08-14,2022-08-20,7,Connecticut,CT,Derrick
2022-08-21,2022-08-27,7,Connecticut,CT,Jayden
2022-08-28,2022-09-03,7,Connecticut,CT,Eli
2022-09-04,2022-09-10,7,Connecticut,CT,Eli
2022-09-11,2022-09-17,7,Connecticut,CT,Jackson
2022-09-18,2022-09-24,7,Connecticut,CT,Jackson
2022-09-25,2022-10-01,7,Connecticut,CT,Hudson
2022-10-02,2022-10-08,7,Connecticut,CT,Christian
2022-10-09,2022-10-15,7,Connecticut,CT,Andrew
2022-10-16,2022-10-22,7,Connecticut,CT,Nicholas
2022-10-23,2022-10-29,7,Connecticut,CT,Hudson
2022-10-30,2022-11-05,7,Connecticut,CT,Jackson
2022-11-06,2022-11-12,7,Connecticut,CT,Andrew
2022-11-13,2022-11-19,7,Connecticut,CT,Jayden
2022-11-20,2022-11-26,7,Connecticut,CT,William
2022-11-27,2022-12-03,7,Connecticut,CT,William
2022-01-02,2022-01-08,7,Delaware,DE,Eli
2022-01-09,2022-01-15,7,Delaware,DE,Jackson
2022-01-16,2022-01-22,7,Delaware,DE,Miles
2022-01-23,2022-01-29,7,Delaware,DE,Derrick
2022-01-30,2022-02-05,7,Delaware,DE,William
2022-02-06,2022-02-12,7,Delaware,DE,Nolan
2022-02-13,2022-02-19,7,Delaware,DE,Hudson
2022-02-20,2022-02-26,7,Delaware,DE,Miles
2022-02-27,2022-03-05,7,Delaware,DE,Eli
2022-03-06,2022-03-12,7,Delaware,DE,Jayden
2022-03-13,2022-03-19,7,Delaware,DE,Nolan
2022-03-20,2022-03-26,7,Delaware,DE,Jackson
2022-03-27,2022-04-02,7,Delaware,DE,Jackson
2022-04-03,2022-04-09,7,Delaware,DE,Nicholas
2022-04-10,2022-04-16,7,Delaware,DE,Julian
2022-04-17,2022-04-23,7,Delaware,DE,Jackson
2022-04-24,2022-04-30,7,Delaware,DE,Andrew
2022-05-01,2022-05-07,7,Delaware,DE,Eli
2022-05-08,2022-05-14,7,Delaware,DE,Nicholas
2022-05-15,2022-05-21,7,Delaware,DE,Julian
2022-05-22,2022-05-28,7,Delaware,DE,Adam
2022-05-29,2022-06-04,7,Delaware,DE,Jackson
2022-06-05,2022-06-11,7,Delaware,DE,Andrew
2022-06-12,2022-06-18,7,Delaware,DE,Ryan
2022-06-19,2022-06-25,7,Delaware,DE,Jackson
2022-06-26,2022-07-02,7,Delaware,DE,Eli
2022-07-03,2022-07-09,7,Delaware,DE,Hudson
2022-07-10,2022-07-16,7,Delaware,DE,Nolan
2022-07-17,2022-07-23,7,Delaware,DE,Isaiah
2022-07-24,2022-07-30,7,Delaware,DE,Andrew
2022-07-31,2022-08-06,7,Delaware,DE,Eli
2022-08-07,2022-08-13,7,Delaware,DE,Theodore
2022-08-14,2022-08-20,7,Delaware,DE,Derrick
2022-08-21,2022-08-27,7,Delaware,DE,Jayden
2022-08-28,2022-09-03,7,Delaware,DE,Eli
2022-09-04,2022-09-10,7,Delaware,DE,Eli
2022-09-11,2022-09-17,7,Delaware,DE,Jackson
2022-09-18,2022-09-24,7,Delaware,DE,Jackson
2022-09-25,2022-10-01,7,Delaware,DE,Hudson
2022-10-02,2022-10-08,7,Delaware,DE,Christian
2022-10-09,2022-10-15,7,Delaware,DE,Andrew
2022-10-16,2022-10-22,7,Delaware,DE,Nicholas
2022-10-23,2022-10-29,7,Delaware,DE,Hudson
2022-10-30,2022-11-05,7,Delaware,DE,Jackson
2022-11-06,2022-11-12,7,Delaware,DE,Andrew
2022-11-13,2022-11-19,7,Delaware,DE,Jayden
2022-11-20,2022-11-26,7,Delaware,DE,William
2022-11-27,2022-12-03,7,Delaware,DE,William
2022-01-02,2022-01-08,7,District of Columbia,DC,Eli
2022-01-09,2022-01-15,7,District of Columbia,DC,Jackson
2022-01-16,2022-01-22,7,District of Columbia,DC,Miles
2022-01-23,2022-01-29,7,District of Columbia,DC,Derrick
2022-01-30,2022-02-05,7,District of Columbia,DC,William
2022-02-06,2022-02-12,7,District of Columbia,DC,Nolan
2022-02-13,2022-02-19,7,District of Columbia,DC,Hudson
2022-02-20,2022-02-26,7,District of Columbia,DC,Miles
2022-02-27,2022-03-05,7,District of Columbia,DC,Eli
2022-03-06,2022-03-12,7,District of Columbia,DC,Jayden
2022-03-13,2022-03-19,7,District of Columbia,DC,Nolan
2022-03-20,2022-03-26,7,District of Columbia,DC,Jackson
2022-03-27,2022-04-02,7,District of Columbia,DC,Jackson
2022-04-03,2022-04-09,7,District of Columbia,DC,Nicholas
2022-04-10,2022-04-16,7,District of Columbia,DC,Julian
2022-04-17,2022-04-23,7,District of Columbia,DC,Jackson
2022-04-24,2022-04-30,7,District of Columbia,DC,Andrew
2022-05-01,2022-05-07,7,District of Columbia,DC,Eli
2022-05-08,2022-05-14,7,District of Columbia,DC,Nicholas
2022-05-15,2022-05-21,7,District of Columbia,DC,Julian
2022-05-22,2022-05-28,7,District of Columbia,DC,Adam
2022-05-29,2022-06-04,7,District of Columbia,DC,Jackson
2022-06-05,2022-06-11,7,District of Columbia,DC,Andrew
2022-06-12,2022-06-18,7,District of Columbia,DC,Ryan
2022-06-19,2022-06-25,7,District of Columbia,DC,Jackson
2022-06-26,2022-07-02,7,District of Columbia,DC,Eli
2022-07-03,2022-07-09,7,District of Columbia,DC,Hudson
2022-07-10,2022-07-16,7,District of Columbia,DC,Nolan
2022-07-17,2022-07-23,7,District of Columbia,DC,Isaiah
2022-07-24,2022-07-30,7,District of Columbia,DC,Andrew
2022-07-31,2022-08-06,7,District of Columbia,DC,Eli
2022-08-07,2022-08-13,7,District of Columbia,DC,Theodore
2022-08-14,2022-08-20,7,District of Columbia,DC,Derrick
2022-08-21,2022-08-27,7,District of Columbia,DC,Jayden
2022-08-28,2022-09-03,7,District of Columbia,DC,Eli
2022-09-04,2022-09-10,7,District of Columbia,DC,Eli
2022-09-11,2022-09-17,7,District of Columbia,DC,Jackson
2022-09-18,2022-09-24,7,District of Columbia,DC,Jackson
2022-09-25,2022-10-01,7,District of Columbia,DC,Hudson
2022-10-02,2022-10-08,7,District of Columbia,DC,Christian
2022-10-09,2022-10-15,7,District of Columbia,DC,Andrew
2022-10-16,2022-10-22,7,District of Columbia,DC,Nicholas
2022-10-23,2022-10-29,7,District of Columbia,DC,Hudson
2022-10-30,2022-11-05,7,District of Columbia,DC,Jackson
2022-11-06,2022-11-12,7,District of Columbia,DC,Andrew
2022-11-13,2022-11-19,7,District of Columbia,DC,Jayden
2022-11-20,2022-11-26,7,District of Columbia,DC,William
2022-11-27,2022-12-03,7,District of Columbia,DC,William
2022-01-02,2022-01-08,7,Florida,FL,Eli
2022-01-09,2022-01-15,7,Florida,FL,Jackson
2022-01-16,2022-01-22,7,Florida,FL,Miles
2022-01-23,2022-01-29,7,Florida,FL,Derrick
2022-01-30,2022-02-05,7,Florida,FL,William
2022-02-06,2022-02-12,7,Florida,FL,Nolan
2022-02-13,2022-02-19,7,Florida,FL,Hudson
2022-02-20,2022-02-26,7,Florida,FL,Miles
2022-02-27,2022-03-05,7,Florida,FL,Eli
2022-03-06,2022-03-12,7,Florida,FL,Jayden
2022-03-13,2022-03-19,7,Florida,FL,Nolan
2022-03-20,2022-03-26,7,Florida,FL,Jackson
2022-03-27,2022-04-02,7,Florida,FL,Jackson
2022-04-03,2022-04-09,7,Florida,FL,Nicholas
2022-04-10,2022-04-16,7,Florida,FL,Julian
2022-04-17,2022-04-23,7,Florida,FL,Jackson
2022-04-24,2022-04-30,7,Florida,FL,Andrew
2022-05-01,2022-05-07,7,Florida,FL,Eli
2022-05-08,2022-05-14,7,Florida,FL,Nicholas
2022-05-15,2022-05-21,7,Florida,FL,Julian
2022-05-22,2022-05-28,7,Florida,FL,Adam
2022-05-29,2022-06-04,7,Florida,FL,Jackson
2022-06-05,2022-06-11,7,Florida,FL,Andrew
2022-06-12,2022-06-18,7,Florida,FL,Ryan
2022-06-19,2022-06-25,7,Florida,FL,Jackson
2022-06-26,2022-07-02,7,Florida,FL,Eli
2022-07-03,2022-07-09,7,Florida,FL,Hudson
2022-07-10,2022-07-16,7,Florida,FL,Nolan
2022-07-17,2022-07-23,7,Florida,FL,Isaiah
2022-07-24,2022-07-30,7,Florida,FL,Andrew
2022-07-31,2022-08-06,7,Florida,FL,Eli
2022-08-07,2022-08-13,7,Florida,FL,Theodore
2022-08-14,2022-08-20,7,Florida,FL,Derrick
2022-08-21,2022-08-27,7,Florida,FL,Jayden
2022-08-28,2022-09-03,7,Florida,FL,Eli
2022-09-04,2022-09-10,7,Florida,FL,Eli
2022-09-11,2022-09-17,7,Florida,FL,Jackson
2022-09-18,2022-09-24,7,Florida,FL,Jackson
2022-09-25,2022-10-01,7,Florida,FL,Hudson
2022-10-02,2022-10-08,7,Florida,FL,Christian
2022-10-09,2022-10-15,7,Florida,FL,Andrew
2022-10-16,2022-10-22,7,Florida,FL,Nicholas
2022-10-23,2022-10-29,7,Florida,FL,Hudson
2022-10-30,2022-11-05,7,Florida,FL,Jackson
2022-11-06,2022-11-12,7,Florida,FL,Andrew
2022-11-13,2022-11-19,7,Florida,FL,Jayden
2022-11-20,2022-11-26,7,Florida,FL,William
2022-11-27,2022-12-03,7,Florida,FL,William
2022-01-02,2022-01-08,7,Georgia,GA,Eli
2022-01-09,2022-01-15,7,Georgia,GA,Eli
2022-01-16,2022-01-22,7,Georgia,GA,Eli
2022-01-23,2022-01-29,7,Georgia,GA,Derrick
2022-01-30,2022-02-05,7,Georgia,GA,William
